證券代碼,簡稱,年月日,報酬率％
1102   ,亞泥         ,20220103,    -0.6772
2498   ,宏達電       ,20220103,     1.4151
2882   ,國泰金       ,20220103,    -1.4400
1102   ,亞泥         ,20220104,    -0.4545
2498   ,宏達電       ,20220104,    -1.6279
2882   ,國泰金       ,20220104,     0.6494
1102   ,亞泥         ,20220105,     0.2283
2498   ,宏達電       ,20220105,    -3.5461
2882   ,國泰金       ,20220105,    -0.1613
1102   ,亞泥         ,20220106,     0.4556
2498   ,宏達電       ,20220106,     0.4902
2882   ,國泰金       ,20220106,     0.1616
1102   ,亞泥         ,20220107,     0.4535
2498   ,宏達電       ,20220107,    -4.8780
2882   ,國泰金       ,20220107,     0.0000
1102   ,亞泥         ,20220110,     0.0000
2498   ,宏達電       ,20220110,     2.0513
2882   ,國泰金       ,20220110,     0.1613
1102   ,亞泥         ,20220111,     0.1129
2498   ,宏達電       ,20220111,    -9.1709
2882   ,國泰金       ,20220111,     3.8647
1102   ,亞泥         ,20220112,     0.1127
2498   ,宏達電       ,20220112,    -0.4149
2882   ,國泰金       ,20220112,     0.3101
1102   ,亞泥         ,20220113,     0.0000
2498   ,宏達電       ,20220113,    -1.3889
2882   ,國泰金       ,20220113,     4.1731
1102   ,亞泥         ,20220114,     0.4505
2498   ,宏達電       ,20220114,    -2.8169
2882   ,國泰金       ,20220114,     0.4451
1102   ,亞泥         ,20220117,    -0.4484
2498   ,宏達電       ,20220117,     2.3188
2882   ,國泰金       ,20220117,    -1.7725
1102   ,亞泥         ,20220118,     0.3378
2498   ,宏達電       ,20220118,    -0.1416
2882   ,國泰金       ,20220118,     0.6015
1102   ,亞泥         ,20220119,    -0.3367
2498   ,宏達電       ,20220119,    -0.8511
2882   ,國泰金       ,20220119,    -1.1958
1102   ,亞泥         ,20220120,    -0.1126
2498   ,宏達電       ,20220120,    -1.0014
2882   ,國泰金       ,20220120,    -0.4539
1102   ,亞泥         ,20220121,     0.3382
2498   ,宏達電       ,20220121,    -0.1445
2882   ,國泰金       ,20220121,    -2.1277
1102   ,亞泥         ,20220124,     0.3371
2498   ,宏達電       ,20220124,    -3.0391
2882   ,國泰金       ,20220124,    -0.1553
1102   ,亞泥         ,20220125,    -1.1198
2498   ,宏達電       ,20220125,    -6.5672
2882   ,國泰金       ,20220125,    -2.0218
1102   ,亞泥         ,20220126,     0.1133
2498   ,宏達電       ,20220126,     1.9169
2882   ,國泰金       ,20220126,     0.4762
1102   ,亞泥         ,20220207,     1.3575
2498   ,宏達電       ,20220207,     5.0157
2882   ,國泰金       ,20220207,     3.7915
1102   ,亞泥         ,20220208,    -0.1116
2498   ,宏達電       ,20220208,    -0.1493
2882   ,國泰金       ,20220208,     0.4566
1102   ,亞泥         ,20220209,     1.0056
2498   ,宏達電       ,20220209,     1.4948
2882   ,國泰金       ,20220209,     0.0000
1102   ,亞泥         ,20220210,     0.2212
2498   ,宏達電       ,20220210,    -0.2946
2882   ,國泰金       ,20220210,    -0.3030
1102   ,亞泥         ,20220211,     0.4415
2498   ,宏達電       ,20220211,     0.8863
2882   ,國泰金       ,20220211,    -0.3040
1102   ,亞泥         ,20220214,    -0.4396
2498   ,宏達電       ,20220214,    -6.4422
2882   ,國泰金       ,20220214,    -2.1341
1102   ,亞泥         ,20220215,    -0.6623
2498   ,宏達電       ,20220215,    -1.4085
2882   ,國泰金       ,20220215,     0.1558
1102   ,亞泥         ,20220216,     0.8889
2498   ,宏達電       ,20220216,     2.2222
2882   ,國泰金       ,20220216,     0.7776
1102   ,亞泥         ,20220217,     0.6608
2498   ,宏達電       ,20220217,     1.2422
2882   ,國泰金       ,20220217,    -0.1543
1102   ,亞泥         ,20220218,     0.1094
2498   ,宏達電       ,20220218,     0.9202
2882   ,國泰金       ,20220218,    -0.1546
1102   ,亞泥         ,20220221,     0.4372
2498   ,宏達電       ,20220221,    -2.1277
2882   ,國泰金       ,20220221,     0.0000
1102   ,亞泥         ,20220222,    -0.4353
2498   ,宏達電       ,20220222,    -4.5031
2882   ,國泰金       ,20220222,    -1.3932
1102   ,亞泥         ,20220223,     0.3279
2498   ,宏達電       ,20220223,     0.9756
2882   ,國泰金       ,20220223,     0.0000
1102   ,亞泥         ,20220224,    -0.7625
2498   ,宏達電       ,20220224,    -7.0853
2882   ,國泰金       ,20220224,    -1.0989
1102   ,亞泥         ,20220225,    -0.9879
2498   ,宏達電       ,20220225,     0.3466
2882   ,國泰金       ,20220225,    -1.1111
1102   ,亞泥         ,20220301,     2.2173
2498   ,宏達電       ,20220301,     5.1813
2882   ,國泰金       ,20220301,     0.4815
1102   ,亞泥         ,20220302,     0.2169
2498   ,宏達電       ,20220302,     9.8522
2882   ,國泰金       ,20220302,    -0.9585
1102   ,亞泥         ,20220303,     0.0000
2498   ,宏達電       ,20220303,    -2.2422
2882   ,國泰金       ,20220303,     0.1613
1102   ,亞泥         ,20220304,    -0.4329
2498   ,宏達電       ,20220304,    -1.6820
2882   ,國泰金       ,20220304,    -1.4493
1102   ,亞泥         ,20220307,    -1.0870
2498   ,宏達電       ,20220307,    -6.5319
2882   ,國泰金       ,20220307,    -2.9412
1102   ,亞泥         ,20220308,    -1.4286
2498   ,宏達電       ,20220308,    -5.4908
2882   ,國泰金       ,20220308,    -1.5152
1102   ,亞泥         ,20220309,     2.4526
2498   ,宏達電       ,20220309,    -1.2324
2882   ,國泰金       ,20220309,     0.8547
1102   ,亞泥         ,20220310,     1.0881
2498   ,宏達電       ,20220310,     3.5651
2882   ,國泰金       ,20220310,     2.2034
1102   ,亞泥         ,20220311,     0.5382
2498   ,宏達電       ,20220311,    -0.5164
2882   ,國泰金       ,20220311,     0.0000
1102   ,亞泥         ,20220314,     1.0707
2498   ,宏達電       ,20220314,    -0.1730
2882   ,國泰金       ,20220314,     1.4925
1102   ,亞泥         ,20220315,     0.2119
2498   ,宏達電       ,20220315,    -3.6395
2882   ,國泰金       ,20220315,     0.1634
1102   ,亞泥         ,20220316,     0.6342
2498   ,宏達電       ,20220316,     1.0791
2882   ,國泰金       ,20220316,     1.1419
1102   ,亞泥         ,20220317,     0.8403
2498   ,宏達電       ,20220317,     4.2705
2882   ,國泰金       ,20220317,     1.7742
1102   ,亞泥         ,20220318,    -0.2083
2498   ,宏達電       ,20220318,    -0.1706
2882   ,國泰金       ,20220318,     0.3170
1102   ,亞泥         ,20220321,     0.7307
2498   ,宏達電       ,20220321,     0.0000
2882   ,國泰金       ,20220321,     0.4739
1102   ,亞泥         ,20220322,     0.1036
2498   ,宏達電       ,20220322,     1.3675
2882   ,國泰金       ,20220322,     0.0000
1102   ,亞泥         ,20220323,    -0.4141
2498   ,宏達電       ,20220323,     0.6745
2882   ,國泰金       ,20220323,     1.8868
1102   ,亞泥         ,20220324,     0.7277
2498   ,宏達電       ,20220324,     3.5176
2882   ,國泰金       ,20220324,    -0.7716
1102   ,亞泥         ,20220325,    -0.4128
2498   ,宏達電       ,20220325,    -4.0453
2882   ,國泰金       ,20220325,    -1.2442
1102   ,亞泥         ,20220328,    -0.3109
2498   ,宏達電       ,20220328,     0.6745
